Threshold,Mean_Sample_Size,Median_Sample_Size,Top_3_Largest_SF,Top_3_Smallest_SF
0,518.0672413793103,103.0,"[('1.25.40.10', 51955), ('3.40.50.300', 24032), ('2.130.10.10', 20604)]","[('3.30.70.2010', 1), ('4.10.1290.10', 1), ('3.40.1840.10', 1)]"
4,518.0672413793103,103.0,"[('1.25.40.10', 51955), ('3.40.50.300', 24032), ('2.130.10.10', 20604)]","[('3.30.70.2010', 1), ('4.10.1290.10', 1), ('3.40.1840.10', 1)]"
14,518.0672413793103,103.0,"[('1.25.40.10', 51955), ('3.40.50.300', 24032), ('2.130.10.10', 20604)]","[('3.30.70.2010', 1), ('4.10.1290.10', 1), ('3.40.1840.10', 1)]"
24,518.062643678161,103.0,"[('1.25.40.10', 51955), ('3.40.50.300', 24032), ('2.130.10.10', 20604)]","[('3.30.70.2010', 1), ('4.10.1290.10', 1), ('3.40.1840.10', 1)]"
34,517.7987349051178,103.0,"[('1.25.40.10', 51940), ('3.40.50.300', 23994), ('2.130.10.10', 20548)]","[('3.30.70.2010', 1), ('4.10.1290.10', 1), ('3.40.1840.10', 1)]"
44,510.5974698102358,101.0,"[('1.25.40.10', 51696), ('3.40.50.300', 23407), ('2.130.10.10', 20104)]","[('3.30.70.2010', 1), ('4.10.1290.10', 1), ('3.40.1840.10', 1)]"
54,486.35500575373993,96.0,"[('1.25.40.10', 50546), ('3.40.50.300', 21911), ('3.40.190.10', 18990)]","[('4.10.1290.10', 1), ('3.40.1840.10', 1), ('1.10.150.90', 1)]"
64,439.03456221198155,85.5,"[('1.25.40.10', 47452), ('3.40.50.300', 19158), ('3.40.190.10', 18492)]","[('4.10.1290.10', 1), ('3.40.1840.10', 1), ('1.10.150.90', 1)]"
74,365.1990686845169,70.0,"[('1.25.40.10', 40891), ('3.40.190.10', 17194), ('3.40.50.300', 15075)]","[('1.10.790.10', 1), ('3.40.1840.10', 1), ('1.10.150.90', 1)]"
84,235.87006678809956,42.0,"[('1.25.40.10', 24746), ('3.40.190.10', 13021), ('3.40.50.2000', 12912)]","[('3.40.1840.10', 1), ('2.60.260.40', 1), ('4.10.430.10', 1)]"
