,precision,recall,f1-score,support
0,0.9030303030303031,0.9490445859872612,0.9254658385093167,157.0
1,1.0,1.0,1.0,2.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,1.0,1.0,1.0,2.0
5,0.0,0.0,0.0,1.0
6,1.0,1.0,1.0,2.0
7,0.0,0.0,0.0,1.0
8,0.027777777777777776,0.5,0.05263157894736842,2.0
9,1.0,1.0,1.0,1.0
10,0.0,0.0,0.0,2.0
11,0.0,0.0,0.0,1.0
12,1.0,1.0,1.0,1.0
13,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,2.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,2.0
17,0.0,0.0,0.0,2.0
18,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,2.0
20,1.0,1.0,1.0,1.0
21,1.0,0.8,0.8888888888888888,5.0
22,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,0.9767441860465116,0.875,0.9230769230769231,48.0
27,0.0,0.0,0.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,2.0
30,1.0,1.0,1.0,1.0
31,0.0,0.0,0.0,1.0
32,0.5,1.0,0.6666666666666666,1.0
33,1.0,1.0,1.0,2.0
34,0.9166666666666666,1.0,0.9565217391304348,11.0
35,0.0,0.0,0.0,1.0
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,0.0,0.0,0.0,1.0
41,1.0,1.0,1.0,4.0
42,0.0,0.0,0.0,1.0
43,0.5,0.5,0.5,2.0
44,0.0,0.0,0.0,1.0
45,0.0,0.0,0.0,1.0
46,1.0,1.0,1.0,1.0
47,0.0,0.0,0.0,15.0
48,0.0,0.0,0.0,1.0
49,1.0,0.9090909090909091,0.9523809523809523,11.0
50,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,1.0
52,1.0,1.0,1.0,1.0
53,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
54,0.0,0.0,0.0,2.0
55,0.0,0.0,0.0,1.0
56,0.0,0.0,0.0,1.0
57,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0
59,0.0,0.0,0.0,1.0
60,1.0,1.0,1.0,1.0
61,0.0,0.0,0.0,1.0
62,0.0,0.0,0.0,2.0
63,0.0,0.0,0.0,1.0
64,1.0,1.0,1.0,1.0
65,0.0,0.0,0.0,2.0
66,0.0,0.0,0.0,2.0
67,1.0,1.0,1.0,2.0
68,0.5,1.0,0.6666666666666666,1.0
69,0.07692307692307693,1.0,0.14285714285714285,1.0
70,1.0,1.0,1.0,2.0
71,0.6666666666666666,1.0,0.8,2.0
72,1.0,1.0,1.0,2.0
73,1.0,1.0,1.0,2.0
74,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
75,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,2.0
77,1.0,1.0,1.0,1.0
78,0.875,0.875,0.875,8.0
79,0.0,0.0,0.0,1.0
80,1.0,0.8666666666666667,0.9285714285714286,15.0
81,0.0,0.0,0.0,1.0
82,0.1839080459770115,0.9411764705882353,0.3076923076923077,17.0
83,1.0,1.0,1.0,1.0
84,0.0,0.0,0.0,1.0
85,1.0,1.0,1.0,1.0
86,0.0,0.0,0.0,1.0
87,1.0,1.0,1.0,15.0
88,1.0,1.0,1.0,1.0
89,0.0,0.0,0.0,1.0
90,0.75,0.6,0.6666666666666666,5.0
91,0.0,0.0,0.0,2.0
92,1.0,1.0,1.0,3.0
93,0.0,0.0,0.0,2.0
94,0.0,0.0,0.0,1.0
95,0.0,0.0,0.0,1.0
96,0.0,0.0,0.0,1.0
97,0.6666666666666666,1.0,0.8,2.0
98,1.0,1.0,1.0,4.0
99,0.0,0.0,0.0,4.0
100,0.0,0.0,0.0,1.0
101,0.0,0.0,0.0,1.0
102,1.0,1.0,1.0,1.0
