,precision,recall,f1-score,support
0,0.9320987654320988,0.9617834394904459,0.9467084639498433,157.0
1,0.6666666666666666,1.0,0.8,2.0
2,1.0,0.0,0.0,1.0
3,1.0,0.0,0.0,1.0
4,1.0,1.0,1.0,2.0
5,1.0,0.0,0.0,1.0
6,1.0,1.0,1.0,2.0
7,1.0,0.0,0.0,1.0
8,0.3333333333333333,1.0,0.5,2.0
9,1.0,0.0,0.0,1.0
10,1.0,0.5,0.6666666666666666,2.0
11,1.0,0.0,0.0,1.0
12,1.0,1.0,1.0,1.0
13,0.5,1.0,0.6666666666666666,1.0
14,1.0,0.0,0.0,2.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,2.0
17,1.0,1.0,1.0,2.0
18,1.0,0.0,0.0,1.0
19,1.0,0.5,0.6666666666666666,2.0
20,0.0,0.0,0.0,1.0
21,1.0,0.8,0.8888888888888888,5.0
22,1.0,0.0,0.0,1.0
23,1.0,0.0,0.0,1.0
24,1.0,0.0,0.0,1.0
25,1.0,1.0,1.0,1.0
26,0.8461538461538461,0.6875,0.7586206896551724,48.0
27,1.0,0.0,0.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,0.5,0.6666666666666666,2.0
30,0.5,1.0,0.6666666666666666,1.0
31,1.0,0.0,0.0,1.0
32,0.0,0.0,0.0,1.0
33,1.0,1.0,1.0,2.0
34,0.6428571428571429,0.8181818181818182,0.72,11.0
35,1.0,0.0,0.0,1.0
36,1.0,0.0,0.0,1.0
37,1.0,1.0,1.0,1.0
38,0.5,1.0,0.6666666666666666,1.0
39,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
41,0.6666666666666666,1.0,0.8,4.0
42,1.0,0.0,0.0,1.0
43,0.3333333333333333,0.5,0.4,2.0
44,1.0,0.0,0.0,1.0
45,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0
47,0.9230769230769231,0.8,0.8571428571428571,15.0
48,1.0,0.0,0.0,1.0
49,1.0,0.8181818181818182,0.9,11.0
50,1.0,0.0,0.0,1.0
51,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0
53,1.0,0.7142857142857143,0.8333333333333334,14.0
54,1.0,1.0,1.0,2.0
55,1.0,0.0,0.0,1.0
56,1.0,0.0,0.0,1.0
57,1.0,0.0,0.0,1.0
58,1.0,1.0,1.0,1.0
59,1.0,0.0,0.0,1.0
60,0.5,1.0,0.6666666666666666,1.0
61,1.0,0.0,0.0,1.0
62,0.0,0.0,0.0,2.0
63,0.0,0.0,0.0,1.0
64,1.0,0.0,0.0,1.0
65,0.5,1.0,0.6666666666666666,2.0
66,1.0,0.5,0.6666666666666666,2.0
67,1.0,0.5,0.6666666666666666,2.0
68,0.5,1.0,0.6666666666666666,1.0
69,0.2,1.0,0.3333333333333333,1.0
70,1.0,0.0,0.0,2.0
71,0.4,1.0,0.5714285714285714,2.0
72,1.0,1.0,1.0,2.0
73,1.0,1.0,1.0,2.0
74,0.6,1.0,0.75,3.0
75,0.0,0.0,0.0,1.0
76,1.0,1.0,1.0,2.0
77,1.0,0.0,0.0,1.0
78,1.0,0.875,0.9333333333333333,8.0
79,1.0,1.0,1.0,1.0
80,0.8125,0.8666666666666667,0.8387096774193549,15.0
81,1.0,0.0,0.0,1.0
82,0.75,0.8823529411764706,0.8108108108108109,17.0
83,1.0,0.0,0.0,1.0
84,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0
86,1.0,0.0,0.0,1.0
87,1.0,0.9333333333333333,0.9655172413793104,15.0
88,0.3333333333333333,1.0,0.5,1.0
89,0.5,1.0,0.6666666666666666,1.0
90,1.0,0.8,0.8888888888888888,5.0
91,1.0,0.0,0.0,2.0
92,1.0,1.0,1.0,3.0
93,0.6666666666666666,1.0,0.8,2.0
94,1.0,1.0,1.0,1.0
95,1.0,0.0,0.0,1.0
96,1.0,1.0,1.0,1.0
97,1.0,1.0,1.0,2.0
98,0.8,1.0,0.8888888888888888,4.0
99,0.5,0.25,0.3333333333333333,4.0
100,1.0,0.0,0.0,1.0
101,1.0,0.0,0.0,1.0
102,1.0,1.0,1.0,1.0
103,0.75,0.6,0.6666666666666666,5.0
104,1.0,0.0,0.0,1.0
105,1.0,1.0,1.0,4.0
106,1.0,1.0,1.0,3.0
107,1.0,1.0,1.0,2.0
108,1.0,1.0,1.0,1.0
109,1.0,1.0,1.0,12.0
110,1.0,1.0,1.0,1.0
111,1.0,1.0,1.0,3.0
112,1.0,1.0,1.0,1.0
113,1.0,0.0,0.0,2.0
114,1.0,0.0,0.0,1.0
115,1.0,1.0,1.0,6.0
116,1.0,0.0,0.0,1.0
117,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,4.0
119,1.0,1.0,1.0,1.0
120,0.967741935483871,0.9375,0.9523809523809523,32.0
121,1.0,1.0,1.0,6.0
122,1.0,1.0,1.0,3.0
123,1.0,1.0,1.0,1.0
124,1.0,0.0,0.0,4.0
125,1.0,1.0,1.0,1.0
126,1.0,1.0,1.0,1.0
127,1.0,0.0,0.0,2.0
128,1.0,1.0,1.0,1.0
129,1.0,1.0,1.0,1.0
130,1.0,0.5,0.6666666666666666,2.0
131,0.9310344827586207,0.9642857142857143,0.9473684210526315,28.0
132,1.0,0.0,0.0,1.0
133,1.0,0.0,0.0,1.0
134,0.5,0.5,0.5,2.0
135,1.0,0.0,0.0,1.0
136,1.0,0.0,0.0,1.0
137,1.0,0.75,0.8571428571428571,4.0
138,1.0,1.0,1.0,1.0
139,1.0,0.0,0.0,1.0
140,1.0,1.0,1.0,1.0
141,1.0,1.0,1.0,1.0
142,1.0,0.0,0.0,1.0
143,1.0,0.0,0.0,1.0
144,1.0,0.0,0.0,4.0
145,1.0,0.4,0.5714285714285714,5.0
146,1.0,0.0,0.0,1.0
147,0.6,0.42857142857142855,0.5,7.0
148,1.0,0.75,0.8571428571428571,4.0
149,1.0,0.75,0.8571428571428571,4.0
150,0.16666666666666666,1.0,0.2857142857142857,1.0
151,1.0,0.5,0.6666666666666666,2.0
152,1.0,0.0,0.0,1.0
153,1.0,0.0,0.0,1.0
154,1.0,1.0,1.0,1.0
155,1.0,0.0,0.0,1.0
156,0.5,0.6666666666666666,0.5714285714285714,6.0
157,0.14285714285714285,1.0,0.25,1.0
158,1.0,0.0,0.0,1.0
159,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
160,1.0,0.0,0.0,2.0
161,1.0,1.0,1.0,3.0
162,1.0,1.0,1.0,1.0
163,1.0,0.0,0.0,4.0
164,1.0,0.0,0.0,1.0
165,1.0,1.0,1.0,1.0
166,1.0,0.0,0.0,1.0
167,1.0,1.0,1.0,1.0
168,1.0,0.0,0.0,1.0
169,1.0,0.0,0.0,1.0
170,1.0,0.0,0.0,1.0
171,0.5,1.0,0.6666666666666666,1.0
172,1.0,0.0,0.0,1.0
173,1.0,0.0,0.0,1.0
174,1.0,0.0,0.0,1.0
175,1.0,0.0,0.0,1.0
176,1.0,1.0,1.0,2.0
177,1.0,1.0,1.0,1.0
178,0.0,0.0,0.0,1.0
179,1.0,1.0,1.0,1.0
180,1.0,1.0,1.0,1.0
181,0.6666666666666666,1.0,0.8,2.0
182,1.0,0.0,0.0,1.0
183,0.0,0.0,0.0,3.0
184,1.0,1.0,1.0,1.0
185,0.6666666666666666,0.4,0.5,5.0
186,1.0,0.0,0.0,1.0
187,1.0,0.0,0.0,1.0
188,1.0,1.0,1.0,2.0
189,1.0,1.0,1.0,1.0
190,0.0,0.0,0.0,3.0
191,1.0,0.0,0.0,4.0
192,1.0,0.0,0.0,2.0
193,1.0,0.0,0.0,3.0
194,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
195,1.0,0.0,0.0,1.0
196,1.0,0.0,0.0,3.0
197,1.0,0.0,0.0,2.0
198,1.0,1.0,1.0,2.0
199,1.0,1.0,1.0,1.0
200,1.0,0.0,0.0,1.0
201,1.0,0.0,0.0,1.0
202,1.0,0.5,0.6666666666666666,2.0
203,1.0,0.0,0.0,1.0
204,1.0,0.0,0.0,1.0
205,1.0,0.6,0.75,5.0
206,0.5,0.5,0.5,2.0
207,1.0,0.0,0.0,1.0
208,0.6666666666666666,1.0,0.8,2.0
209,1.0,1.0,1.0,1.0
210,1.0,1.0,1.0,2.0
211,1.0,1.0,1.0,2.0
212,1.0,0.5,0.6666666666666666,2.0
213,1.0,1.0,1.0,2.0
214,0.8888888888888888,1.0,0.9411764705882353,8.0
215,0.3333333333333333,1.0,0.5,1.0
216,0.5,1.0,0.6666666666666666,1.0
217,1.0,1.0,1.0,2.0
218,1.0,0.0,0.0,1.0
219,1.0,0.0,0.0,1.0
220,1.0,0.0,0.0,1.0
221,1.0,0.8,0.8888888888888888,5.0
222,1.0,1.0,1.0,1.0
223,1.0,0.0,0.0,1.0
224,1.0,1.0,1.0,1.0
225,1.0,1.0,1.0,1.0
226,1.0,1.0,1.0,1.0
227,0.5,1.0,0.6666666666666666,1.0
228,1.0,1.0,1.0,1.0
229,1.0,0.0,0.0,1.0
230,0.8723404255319149,1.0,0.9318181818181818,41.0
231,1.0,1.0,1.0,1.0
232,1.0,0.0,0.0,1.0
233,0.5,1.0,0.6666666666666666,1.0
234,1.0,0.0,0.0,1.0
235,0.3333333333333333,0.5,0.4,2.0
236,1.0,0.0,0.0,1.0
237,1.0,1.0,1.0,1.0
238,1.0,0.6666666666666666,0.8,3.0
239,0.5,1.0,0.6666666666666666,1.0
240,1.0,1.0,1.0,3.0
241,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,2.0
243,0.6666666666666666,0.5,0.5714285714285714,4.0
244,1.0,0.0,0.0,1.0
245,0.2,1.0,0.3333333333333333,1.0
246,1.0,1.0,1.0,1.0
247,1.0,1.0,1.0,2.0
248,0.75,1.0,0.8571428571428571,3.0
249,0.5,1.0,0.6666666666666666,1.0
250,1.0,0.0,0.0,1.0
251,1.0,1.0,1.0,6.0
252,1.0,1.0,1.0,3.0
253,0.5,0.25,0.3333333333333333,4.0
254,1.0,0.0,0.0,2.0
255,1.0,0.0,0.0,1.0
256,0.5,1.0,0.6666666666666666,1.0
257,0.6,1.0,0.75,3.0
258,0.0,0.0,0.0,2.0
259,1.0,0.0,0.0,1.0
260,0.3333333333333333,1.0,0.5,1.0
261,0.7857142857142857,1.0,0.88,11.0
262,1.0,0.0,0.0,1.0
263,1.0,0.0,0.0,1.0
264,1.0,1.0,1.0,2.0
265,0.25,1.0,0.4,3.0
266,0.5,1.0,0.6666666666666666,1.0
267,1.0,1.0,1.0,12.0
268,1.0,1.0,1.0,2.0
269,0.7222222222222222,1.0,0.8387096774193549,13.0
270,1.0,1.0,1.0,2.0
271,1.0,0.0,0.0,1.0
272,1.0,1.0,1.0,1.0
273,0.5,1.0,0.6666666666666666,2.0
274,0.6153846153846154,1.0,0.7619047619047619,8.0
275,0.5,1.0,0.6666666666666666,1.0
276,0.95,0.9047619047619048,0.926829268292683,21.0
277,0.8571428571428571,1.0,0.9230769230769231,6.0
278,0.5,1.0,0.6666666666666666,1.0
279,1.0,1.0,1.0,2.0
280,0.2,1.0,0.3333333333333333,1.0
281,1.0,1.0,1.0,1.0
282,0.25,1.0,0.4,1.0
283,1.0,1.0,1.0,2.0
284,1.0,1.0,1.0,1.0
285,1.0,1.0,1.0,1.0
286,0.75,1.0,0.8571428571428571,6.0
287,1.0,0.0,0.0,1.0
288,0.6666666666666666,1.0,0.8,4.0
289,0.5714285714285714,1.0,0.7272727272727273,4.0
290,1.0,1.0,1.0,1.0
291,1.0,1.0,1.0,1.0
292,1.0,0.0,0.0,1.0
293,0.6666666666666666,0.5,0.5714285714285714,4.0
294,1.0,0.0,0.0,1.0
295,1.0,1.0,1.0,4.0
296,1.0,1.0,1.0,1.0
297,0.8947368421052632,1.0,0.9444444444444444,17.0
298,1.0,0.0,0.0,1.0
299,0.96,0.7741935483870968,0.8571428571428571,31.0
300,1.0,0.6666666666666666,0.8,3.0
301,1.0,0.0,0.0,1.0
302,1.0,0.0,0.0,1.0
303,1.0,0.0,0.0,1.0
304,1.0,0.0,0.0,1.0
305,1.0,1.0,1.0,1.0
306,0.3333333333333333,1.0,0.5,1.0
307,0.5,1.0,0.6666666666666666,1.0
308,1.0,0.0,0.0,1.0
309,1.0,0.0,0.0,1.0
310,1.0,0.75,0.8571428571428571,4.0
311,1.0,1.0,1.0,1.0
312,0.8,0.9411764705882353,0.8648648648648649,17.0
313,1.0,0.0,0.0,3.0
314,1.0,0.0,0.0,1.0
315,1.0,1.0,1.0,2.0
316,1.0,0.0,0.0,1.0
317,1.0,0.0,0.0,1.0
318,1.0,0.0,0.0,1.0
319,1.0,1.0,1.0,1.0
320,1.0,1.0,1.0,3.0
321,1.0,0.0,0.0,1.0
322,1.0,0.0,0.0,1.0
323,0.3333333333333333,0.5,0.4,2.0
324,0.6666666666666666,1.0,0.8,2.0
325,1.0,1.0,1.0,1.0
326,0.8,1.0,0.8888888888888888,20.0
327,1.0,1.0,1.0,3.0
328,1.0,1.0,1.0,2.0
329,0.42857142857142855,1.0,0.6,3.0
330,0.3333333333333333,1.0,0.5,1.0
331,0.6,1.0,0.75,3.0
332,0.2,1.0,0.3333333333333333,1.0
333,0.5,1.0,0.6666666666666666,1.0
