Model,Nb_Layer_Block,Dropout,Input_Type,Layer_size,pLDDT_threshold,F1_Score
ProtT5,1,0.0,AA,128,0.0,0.7344794159129255
ESM2,1,0.0,AA,128,0.0,0.6692400307836652
Ankh_large,1,0.0,AA,128,0.0,0.6880263430755593
Ankh_base,1,0.0,AA,128,0.0,0.6657966327493949
ProstT5_full,1,0.0,AA,128,0.0,0.7703663604237581
ProstT5_half,1,0.0,AA,128,0.0,0.7620638773244279
TM_Vec,1,0.0,AA,128,0.0,0.6909607294083647
ProtT5,1,0.1,AA,128,0.0,0.7072243592976277
ESM2,1,0.1,AA,128,0.0,0.642455196752102
Ankh_large,1,0.1,AA,128,0.0,0.6561011281855215
Ankh_base,1,0.1,AA,128,0.0,0.625172032166201
ProstT5_full,1,0.1,AA,128,0.0,0.7385402917589378
ProstT5_half,1,0.1,AA,128,0.0,0.7390270502652625
TM_Vec,1,0.1,AA,128,0.0,0.6841679246938746
ProtT5,1,0.5,AA,128,0.0,0.7149265651161739
ProtT5,2,0.5,AA,128,0.0,0.6531717220269301
ProtT5,3,0.5,AA,128,0.0,0.6191301411270839
ESM2,3,0.5,AA,128,0.0,0.5276287235742233
Ankh_large,3,0.5,AA,128,0.0,0.579743025079293
Ankh_base,3,0.5,AA,128,0.0,0.5266861539695968
ProstT5_full,3,0.5,AA,128,0.0,0.6034989945602109
ProstT5_half,3,0.5,AA,128,0.0,0.6291218442302325
TM_Vec,3,0.5,AA,128,0.0,0.4902498171141372
ESM2,2,0.5,AA,128,0.0,0.5840490527972242
ESM2,1,0.5,AA,128,0.0,0.6445730927555618
TM_Vec,1,0.5,AA,128,0.0,0.6907498916629085
Ankh_large,1,0.5,AA,128,0.0,0.6387443124746325
Ankh_base,1,0.5,AA,128,0.0,0.6165107499798027
ProstT5_full,1,0.5,AA,128,0.0,0.7378801712292554
ProstT5_half,1,0.5,AA,128,0.0,0.7466338087988195
TM_Vec,2,0.5,AA,128,0.0,0.5691193807470564
Ankh_large,2,0.5,AA,128,0.0,0.6161777454237002
Ankh_base,2,0.5,AA,128,0.0,0.5660431212686896
ProstT5_full,2,0.5,AA,128,0.0,0.6751850494553913
ProstT5_half,2,0.5,AA,128,0.0,0.6745806579998463
ProstT5_half,1,0.0,AA+3Di,128,0.0,0.7727738450311298
ProstT5_full,1,0.0,AA+3Di,64,0.0,0.7576020283349831
ProstT5_full,1,0.0,AA+3Di,128,0.0,0.7690216192249463
ProstT5_full,2,0.0,AA+3Di,64,0.0,0.7523399490552275
ProstT5_full,3,0.0,AA+3Di,64,0.0,0.7465826693696482
ProstT5_full,2,0.0,AA+3Di,128,0.0,0.7576144412800838
ProstT5_full,3,0.0,AA+3Di,128,0.0,0.7475299503798744
ProstT5_full,1,0.0,AA+3Di,256,0.0,0.7767307337545637
ProstT5_full,2,0.0,AA+3Di,256,0.0,0.7677085654213782
ProstT5_full,3,0.0,AA+3Di,256,0.0,0.766726797976709
ProstT5_full,1,0.0,AA+3Di,512,0.0,0.7814478668003957
ProstT5_full,2,0.0,AA+3Di,512,0.0,0.7682546976418377
ProstT5_full,3,0.0,AA+3Di,512,0.0,0.7680812314125132
ProstT5_full,1,0.2,AA+3Di,64,0.0,0.7622578740240098
ProstT5_full,2,0.2,AA+3Di,64,0.0,0.7424078204545905
ProstT5_full,3,0.2,AA+3Di,64,0.0,0.7027593207240765
ProstT5_full,1,0.2,AA+3Di,128,0.0,0.783164039610267
ProstT5_full,2,0.2,AA+3Di,128,0.0,0.7668859880601282
ProstT5_full,3,0.2,AA+3Di,128,0.0,0.7629126813607425
ProstT5_full,1,0.2,AA+3Di,256,0.0,0.7845897508147837
ProstT5_full,2,0.2,AA+3Di,256,0.0,0.7884892368504185
ProstT5_full,3,0.2,AA+3Di,256,0.0,0.7790545071332596
ProstT5_full,1,0.2,AA+3Di,512,0.0,0.7853736988665077
ProstT5_full,2,0.2,AA+3Di,512,0.0,0.7924493864628697
ProstT5_full,3,0.2,AA+3Di,512,0.0,0.7910558578920018
ProstT5_full,1,0.4,AA+3Di,64,0.0,0.7393415865800738
ProstT5_full,2,0.4,AA+3Di,64,0.0,0.6592380871475846
ProstT5_full,3,0.4,AA+3Di,64,0.0,0.5731056365092044
ProstT5_full,1,0.4,AA+3Di,128,0.0,0.7783520860398373
ProstT5_full,2,0.4,AA+3Di,128,0.0,0.7295766357619732
ProstT5_full,3,0.4,AA+3Di,128,0.0,0.6751249715190276
ProstT5_full,1,0.4,AA+3Di,256,0.0,0.7859440594201067
ProstT5_full,2,0.4,AA+3Di,256,0.0,0.7626530797864502
ProstT5_full,3,0.4,AA+3Di,256,0.0,0.7299183059820432
ProstT5_full,1,0.4,AA+3Di,512,0.0,0.7922451154743292
ProstT5_full,2,0.4,AA+3Di,512,0.0,0.7849324146884322
ProstT5_full,3,0.4,AA+3Di,512,0.0,0.7695433677165946
ProstT5_full,1,0.2,AA+3Di,1024,0.0,0.7849406418512637
ProstT5_full,2,0.2,AA,512,0.0,0.7842690539117303
ProstT5_full,2,0.2,3Di,512,0.0,0.6575907069602588
ProstT5_full,1,0.3,AA+3Di,1024,0.0,0.7875681254609925
ProstT5_full,2,0.3,AA+3Di,1024,0.0,0.7914623532180838
ProstT5_full,3,0.3,AA+3Di,1024,0.0,0.7919558287237701
ProstT5_full,1,0.3,AA+3Di,2048,0.0,0.7809290740989991
ProstT5_full,2,0.3,AA+3Di,2048,0.0,0.7289427228439862
ProstT5_full,3,0.3,AA+3Di,2048,0.0,0.6355822080367746
ProstT5_full,1,0.5,AA+3Di,1024,0.0,0.7793189291573775
ProstT5_full,2,0.5,AA+3Di,1024,0.0,0.7776154359728272
ProstT5_full,3,0.5,AA+3Di,1024,0.0,0.7812107726992221
ProstT5_full,1,0.5,AA+3Di,2048,0.0,0.7823017657812475
ProstT5_full,2,0.5,AA+3Di,2048,0.0,0.7797179648527611
ProstT5_full,3,0.5,AA+3Di,2048,0.0,0.7634072888530811
ProstT5_full,1,0.7,AA+3Di,1024,0.0,0.7484263316697397
ProstT5_full,2,0.7,AA+3Di,1024,0.0,0.7382920672267365
ProstT5_full,3,0.7,AA+3Di,1024,0.0,0.7126040749522274
ProstT5_full,1,0.7,AA+3Di,2048,0.0,0.7500539928732377
ProstT5_full,2,0.7,AA+3Di,2048,0.0,0.7392275693544393
ProstT5_full,3,0.7,AA+3Di,2048,0.0,0.751013283491579
ProstT5_full,1,0.1,AA,256,0.0,0.7739090736576536
ProstT5_full,2,0.1,AA,256,0.0,0.7795576253484598
ProstT5_full,3,0.1,AA,256,0.0,0.7751125137920101
ProstT5_full,1,0.1,AA,512,0.0,0.78190815731289
ProstT5_full,2,0.1,AA,512,0.0,0.7856083440244128
ProstT5_full,3,0.1,AA,512,0.0,0.7850277049994041
ProstT5_full,1,0.1,AA,1024,0.0,0.7883287762746125
ProstT5_full,2,0.1,AA,1024,0.0,0.7901397058676707
ProstT5_full,3,0.1,AA,1024,0.0,0.7872882030225303
ProstT5_full,1,0.3,AA,256,0.0,0.7729573067177894
ProstT5_full,2,0.3,AA,256,0.0,0.7553030780383362
ProstT5_full,3,0.3,AA,256,0.0,0.750688222462582
ProstT5_full,1,0.3,AA,512,0.0,0.7792792461111531
ProstT5_full,2,0.3,AA,512,0.0,0.77715593820623
ProstT5_full,3,0.3,AA,512,0.0,0.7724931007623325
ProstT5_full,1,0.3,AA,1024,0.0,0.7679626805022318
ProstT5_full,2,0.3,AA,1024,0.0,0.7891328994150927
ProstT5_full,3,0.3,AA,1024,0.0,0.779137124942525
ProstT5_full,1,0.5,AA,256,0.0,0.7554233854645871
ProstT5_full,2,0.5,AA,256,0.0,0.7267544457377215
ProstT5_full,3,0.5,AA,256,0.0,0.6879503829371894
ProstT5_full,1,0.5,AA,512,0.0,0.7612275578281321
ProstT5_full,2,0.5,AA,512,0.0,0.755415752005513
ProstT5_full,3,0.5,AA,512,0.0,0.7304032557184184
ProstT5_full,1,0.5,AA,1024,0.0,0.7611371663388191
ProstT5_full,2,0.5,AA,1024,0.0,0.7762434477093842
ProstT5_full,3,0.5,AA,1024,0.0,0.7661867873449766
ProstT5_full,2,0.2,AA,1024,0.0,0.7881363110896595
ProstT5_full,2,0.4,AA+3Di,2048,0.0,0.7957813202818756
ProtT5,2,0.1,AA,1024,0.0,0.7649045888844982
ProstT5_full,2,0.3,AA+3Di,2048,4.0,0.6679593307391077
ProstT5_full,2,0.3,AA+3Di,2048,14.0,0.6734868307903701
