max_residues,max_batch,time
128,128,127.70938229560852
128,256,127.08806705474854
128,512,127.34830284118652
128,1024,127.13718438148499
128,2048,127.53789520263672
128,4096,127.19993185997009
128,8192,127.47928071022034
128,16384,127.29617881774902
128,32768,127.79448795318604
128,65536,127.64504051208496
128,131072,128.1141016483307
128,262144,127.54546165466309
256,128,111.01203083992004
256,256,110.86097431182861
256,512,110.89521861076355
256,1024,110.75150561332703
256,2048,110.92792272567749
256,4096,110.89148211479187
256,8192,111.06669354438782
256,16384,110.89613103866577
256,32768,110.93287253379822
256,65536,110.84707474708557
256,131072,111.02272844314575
256,262144,110.97959184646606
512,128,96.30708622932434
512,256,96.01284766197205
512,512,95.91063261032104
512,1024,95.99676728248596
512,2048,95.98030257225037
512,4096,96.0113627910614
512,8192,96.03677177429199
512,16384,96.00896644592285
512,32768,96.01481318473816
512,65536,96.02900385856628
512,131072,96.08425998687744
512,262144,96.0050892829895
1024,128,86.89407324790955
1024,256,86.51062846183777
1024,512,86.6520721912384
1024,1024,86.65249514579773
1024,2048,86.58626222610474
1024,4096,86.61143755912781
1024,8192,86.63779664039612
1024,16384,86.60831022262573
1024,32768,86.5677695274353
1024,65536,86.59373760223389
1024,131072,86.58397841453552
1024,262144,86.57356452941895
2048,128,82.69446325302124
2048,256,82.54673981666565
2048,512,82.53916430473328
2048,1024,82.49841547012329
2048,2048,82.51196527481079
2048,4096,82.51490521430969
2048,8192,82.48757290840149
2048,16384,82.51113414764404
2048,32768,82.59557104110718
2048,65536,82.4857726097107
2048,131072,82.49347710609436
2048,262144,82.50632333755493
4096,128,79.5333788394928
4096,256,79.45041942596436
4096,512,79.44247889518738
4096,1024,79.44712376594543
4096,2048,79.44853210449219
4096,4096,79.46333575248718
4096,8192,79.45651531219482
4096,16384,79.44398713111877
4096,32768,79.44829821586609
4096,65536,79.4648380279541
4096,131072,79.45636057853699
4096,262144,79.436696767807
8192,128,79.12005090713501
8192,256,79.04070234298706
8192,512,79.0531075000763
8192,1024,79.0931327342987
8192,2048,79.07768726348877
8192,4096,79.12471723556519
8192,8192,79.12555527687073
8192,16384,79.08763265609741
8192,32768,79.09989881515503
8192,65536,79.11834692955017
8192,131072,79.10715556144714
8192,262144,79.10866379737854
16384,128,80.50899958610535
16384,256,80.67578101158142
16384,512,80.76534581184387
16384,1024,80.77290177345276
16384,2048,80.78616690635681
16384,4096,80.74871015548706
16384,8192,80.75433659553528
16384,16384,80.70962262153625
16384,32768,80.7245352268219
16384,65536,80.75001645088196
16384,131072,80.72217631340027
16384,262144,80.81953501701355
32768,128,83.608323097229
32768,256,84.0022644996643
32768,512,84.28429126739502
32768,1024,84.37427997589111
32768,2048,84.39625549316406
32768,4096,84.32869744300842
32768,8192,84.3150463104248
32768,16384,84.38111066818237
32768,32768,84.36358833312988
32768,65536,84.33348298072815
32768,131072,84.45921635627747
32768,262144,84.35944366455078
65536,128,Runtime Error
65536,256,Runtime Error
65536,512,Runtime Error
65536,1024,Runtime Error
65536,2048,Runtime Error
65536,4096,Runtime Error
65536,8192,Runtime Error
65536,16384,Runtime Error
65536,32768,Runtime Error
65536,65536,Runtime Error
65536,131072,Runtime Error
65536,262144,Runtime Error
131072,128,Runtime Error
131072,256,Runtime Error
131072,512,Runtime Error
131072,1024,Runtime Error
131072,2048,Runtime Error
131072,4096,Runtime Error
131072,8192,Runtime Error
131072,16384,Runtime Error
131072,32768,Runtime Error
131072,65536,Runtime Error
131072,131072,Runtime Error
131072,262144,Runtime Error
262144,128,Runtime Error
262144,256,Runtime Error
262144,512,Runtime Error
262144,1024,Runtime Error
262144,2048,Runtime Error
262144,4096,Runtime Error
262144,8192,Runtime Error
262144,16384,Runtime Error
262144,32768,Runtime Error
262144,65536,Runtime Error
262144,131072,Runtime Error
262144,262144,Runtime Error
