max_residues,max_batch,time
128,128,229.44410943984985
128,256,231.03269028663635
128,512,230.45257186889648
128,1024,230.48736310005188
128,2048,230.52971148490906
128,4096,230.41047739982605
128,8192,230.47034358978271
128,16384,230.7901918888092
128,32768,230.63664650917053
128,65536,230.4630150794983
128,131072,230.32519817352295
128,262144,230.60540199279785
256,128,205.6388201713562
256,256,205.64054608345032
256,512,205.52007341384888
256,1024,205.64990854263306
256,2048,205.67326426506042
256,4096,205.73231649398804
256,8192,205.61462378501892
256,16384,205.56697130203247
256,32768,205.625901222229
256,65536,205.65756154060364
256,131072,205.68654131889343
256,262144,205.69392704963684
512,128,187.87979006767273
512,256,187.98657321929932
512,512,188.02301907539368
512,1024,187.96988201141357
512,2048,187.94306468963623
512,4096,187.88528537750244
512,8192,187.9510006904602
512,16384,187.92183423042297
512,32768,187.96658945083618
512,65536,187.97022461891174
512,131072,188.01642489433289
512,262144,187.9977023601532
1024,128,178.50914216041565
1024,256,178.68858003616333
1024,512,178.58710741996765
1024,1024,178.62839651107788
1024,2048,178.58586597442627
1024,4096,178.5219759941101
1024,8192,178.4642608165741
1024,16384,178.51109147071838
1024,32768,178.63514351844788
1024,65536,178.577650308609
1024,131072,178.561598777771
1024,262144,178.58419632911682
2048,128,172.23706912994385
2048,256,172.22793674468994
2048,512,172.19235849380493
2048,1024,172.18925261497498
2048,2048,172.19325184822083
2048,4096,172.19576621055603
2048,8192,172.15770649909973
2048,16384,172.14829635620117
2048,32768,172.18148231506348
2048,65536,172.17266201972961
2048,131072,172.15331935882568
2048,262144,172.21461081504822
4096,128,166.96817708015442
4096,256,166.96822118759155
4096,512,166.9313998222351
4096,1024,166.97495555877686
4096,2048,166.96298789978027
4096,4096,167.00828504562378
4096,8192,167.1101005077362
4096,16384,166.99069261550903
4096,32768,166.9714391231537
4096,65536,166.8881561756134
4096,131072,166.9239764213562
4096,262144,166.92907571792603
8192,128,168.76914644241333
8192,256,168.73986268043518
8192,512,168.76937866210938
8192,1024,168.76332926750183
8192,2048,168.767751455307
8192,4096,168.75392508506775
8192,8192,168.7347207069397
8192,16384,168.77862977981567
8192,32768,168.81130480766296
8192,65536,168.7873203754425
8192,131072,168.83910012245178
8192,262144,168.8260440826416
16384,128,171.24778151512146
16384,256,171.7565679550171
16384,512,172.25355410575867
16384,1024,171.95632004737854
16384,2048,171.93740224838257
16384,4096,171.77919483184814
16384,8192,171.89441776275635
16384,16384,171.98124313354492
16384,32768,171.85633444786072
16384,65536,172.05969071388245
16384,131072,171.75927639007568
16384,262144,171.75435543060303
32768,128,177.65282464027405
32768,256,178.87322187423706
32768,512,179.32366728782654
32768,1024,179.97886729240417
32768,2048,179.78399300575256
32768,4096,179.761892080307
32768,8192,179.8053958415985
32768,16384,179.85793447494507
32768,32768,179.70973896980286
32768,65536,179.3335199356079
32768,131072,179.41586422920227
32768,262144,179.62446212768555
65536,128,Runtime Error
65536,256,Runtime Error
65536,512,Runtime Error
65536,1024,Runtime Error
65536,2048,Runtime Error
65536,4096,Runtime Error
65536,8192,Runtime Error
65536,16384,Runtime Error
65536,32768,Runtime Error
65536,65536,Runtime Error
65536,131072,Runtime Error
65536,262144,Runtime Error
131072,128,Runtime Error
131072,256,Runtime Error
131072,512,Runtime Error
131072,1024,Runtime Error
131072,2048,Runtime Error
131072,4096,Runtime Error
131072,8192,Runtime Error
131072,16384,Runtime Error
131072,32768,Runtime Error
131072,65536,Runtime Error
131072,131072,Runtime Error
131072,262144,Runtime Error
262144,128,Runtime Error
262144,256,Runtime Error
262144,512,Runtime Error
262144,1024,Runtime Error
262144,2048,Runtime Error
262144,4096,Runtime Error
262144,8192,Runtime Error
262144,16384,Runtime Error
262144,32768,Runtime Error
262144,65536,Runtime Error
262144,131072,Runtime Error
262144,262144,Runtime Error
